cutoff_hz,filter_order,peak_loss_percent,peak_preserved_percent,noise_reduction_percent,snr_db,gesture_correlation,composite_score
5,2,0,100,113.0194713498486,8.486260584523356,1.0,1.5
5,3,0,100,127.23038185578429,7.436167645168597,1.0,1.5
5,4,0,100,132.02645807366605,7.093175931876434,1.0,1.5
5,5,0,100,133.3285542899539,6.98618830552088,1.0,1.5
8,2,0,100,102.35821678713717,9.465314940967893,1.0,1.5
8,3,0,100,122.60036666423146,7.893680240569512,1.0,1.5
8,4,0,100,134.96102876860007,7.052602635534893,1.0,1.5
8,5,0,100,142.20684315047134,6.590206744661321,1.0,1.5
10,2,0,100,95.0720856624533,10.155763152424592,1.0,1.5
10,3,0,100,115.77147896901592,8.443794563578678,1.0,1.5
10,4,0,100,129.09857440315074,7.492181645918555,1.0,1.5
10,5,0,100,138.30791687812217,6.88678656596627,1.0,1.5
12,2,0,100,88.51694864943683,10.811237974989263,1.0,1.5
12,3,0,100,109.50147642379847,8.963448931268605,1.0,1.5
12,4,0,100,123.26839474132586,7.930101516578409,1.0,1.5
12,5,0,100,132.78907001330612,7.277696165995469,1.0,1.5
15,2,0,100,79.87050115198633,11.7408026211774,1.0,1.5
15,3,0,100,101.15018044132687,9.691172088928878,1.0,1.5
15,4,0,100,116.01001312016275,8.497804496032623,1.0,1.5
15,5,0,100,126.32038871701316,7.754048161989424,1.0,1.5
18,2,0,100,72.29689189420695,12.631152631790926,1.0,1.5
18,3,0,100,93.20833656691725,10.42804610557122,1.0,1.5
18,4,0,100,108.96133232632184,9.070551744833292,1.0,1.5
18,5,0,100,120.31394000446709,8.20692203383298,1.0,1.5
20,2,0,100,67.75690849598217,13.206718926556274,1.0,1.5
20,3,0,100,88.03932830290752,10.936424853161741,1.0,1.5
20,4,0,100,104.07814599482997,9.482344148901259,1.0,1.5
20,5,0,100,116.17145911925914,8.525525837431307,1.0,1.5
25,2,0,100,58.034277567017334,14.572570355645034,1.0,1.5
25,3,0,100,75.99873625081773,12.234003660874864,1.0,1.5
25,4,0,100,91.44329688741259,10.626858173816355,1.0,1.5
25,5,0,100,104.2825109439485,9.484033902380432,1.0,1.5
30,2,0,100,50.34787997035552,15.818338596948118,1.0,1.5
30,3,0,100,65.89366600984363,13.48368737727575,1.0,1.5
30,4,0,100,79.9655872912838,11.80179101622047,1.0,1.5
30,5,0,100,92.32338627759786,10.55192681952847,1.0,1.5
