filter,filter_key,subject,accuracy,recall,precision,fn_rate,fp_rate
Baseline (No Filter),baseline,2,0.9642368706555042,0.9040366117028308,0.9503749344895952,0.09596338829716922,0.0496250655104048
Baseline (No Filter),baseline,3,0.9589055625755158,0.8694345618662254,0.9539922451930904,0.13056543813377464,0.04600775480690955
Baseline (No Filter),baseline,6,0.95877919742534,0.8765260924667964,0.9308782602431944,0.12347390753320364,0.06912173975680558
"Butterworth (40Hz, O2)",butterworth,2,0.9623497648185516,0.902971407300899,0.9423862280951486,0.09702859269910102,0.057613771904851396
"Butterworth (40Hz, O2)",butterworth,3,0.9635863900904806,0.8928255014190988,0.9526193840030804,0.10717449858090122,0.04738061599691956
"Butterworth (40Hz, O2)",butterworth,6,0.9605928818674004,0.8830846060041789,0.9315966967034236,0.11691539399582107,0.0684033032965764
"Biquad (30Hz, Q=1.0)",biquad,2,0.9569711597926304,0.8809075031805114,0.9425935663626884,0.11909249681948864,0.05740643363731157
"Biquad (30Hz, Q=1.0)",biquad,3,0.9592191549607548,0.8756363899719146,0.9468653164445284,0.12436361002808538,0.053134683555471574
"Biquad (30Hz, Q=1.0)",biquad,6,0.9609208886281986,0.8892182916404373,0.9283603156901872,0.11078170835956269,0.07163968430981282
EMA (α=0.5),ema,2,0.96166418704258,0.8908639017356326,0.9519150175834528,0.10913609826436743,0.04808498241654724
EMA (α=0.5),ema,3,0.96230435063318,0.8835770876265749,0.955150526152386,0.11642291237342506,0.04484947384761395
EMA (α=0.5),ema,6,0.9599793162795544,0.8865912585894812,0.9256488574639062,0.11340874141051882,0.07435114253609376
