filter_type,filter_name,params,peak_preserved,peak_loss,noise_reduction,snr_db,correlation,delay_ms,composite_score
Single-Pole IIR,IIR α=0.40,{'alpha': 0.4},94.61078385082233,5.3892161491776704,12.117508090805684,0,0.9305674938443328,5.0,0.6939659078290061
Single-Pole IIR,IIR α=0.30,{'alpha': 0.3},87.21368906315557,12.78631093684443,18.1113987706519,0,0.8790945942189817,5.0,0.6669173308302726
Single-Pole IIR,IIR α=0.25,{'alpha': 0.25},81.83671752687147,18.163282473128533,22.438243564748294,0,0.8396324484183147,10.0,0.6465513353272252
Single-Pole IIR,IIR α=0.20,{'alpha': 0.2},76.28635497400693,23.713645025993074,28.186618023147282,0,0.7852717935224288,10.0,0.6252868120221982
Single-Pole IIR,IIR α=0.15,{'alpha': 0.15},68.21054277147618,31.789457228523816,36.089885581766936,0,0.7080182913317804,10.0,0.5935173152307397
Single-Pole IIR,IIR α=0.10,{'alpha': 0.1},62.185126024000056,37.814873975999944,47.48520392313553,0,0.5930821919746498,15.0,0.5691207734578018
Moving Average,MAF window=3,{'window': 3},99.33035653976363,0.6696434602363723,4.65274841783847,0,0.9783890153733524,0.0,0.7047963760245757
Moving Average,MAF window=5,{'window': 5},99.06249915566909,0.9375008443309127,9.874674744424372,0,0.9688861224647853,0.0,0.7165398575953852
Moving Average,MAF window=7,{'window': 7},94.44417211421667,5.55582788578333,15.566479599839123,0,0.945108222162133,0.0,0.7080085939050239
Moving Average,MAF window=10,{'window': 10},84.00583830782409,15.994161692175908,23.701177301972788,0,0.8857617234746189,0.0,0.6728554021796004
Moving Average,MAF window=15,{'window': 15},68.10897465025867,31.891025349741327,35.04642120988021,0,0.7778563460270292,0.0,0.6109320660387841
Moving Average,MAF window=20,{'window': 20},59.86435460408638,40.13564539591362,44.486732177656776,0,0.6786991217762539,0.0,0.576527351482192
Butterworth,Butter 40Hz O1,"{'cutoff_hz': 40, 'order': 1}",99.81272119223651,0.18727880776349082,3.528431364330742,0,0.961598323343488,5.0,0.6983156758649847
Butterworth,Butter 40Hz O2,"{'cutoff_hz': 40, 'order': 2}",101.48885380640174,-1.4888538064017354,1.6659905476809178,0,0.9212882916844155,5.0,0.6873398743739743
Butterworth,Butter 35Hz O1,"{'cutoff_hz': 35, 'order': 1}",99.64756354484588,0.3524364551541197,4.324095638715697,0,0.9530332495739648,5.0,0.69747251596772
Butterworth,Butter 35Hz O2,"{'cutoff_hz': 35, 'order': 2}",101.78539824417028,-1.7853982441702811,2.028746638576584,0,0.9002269632192528,5.0,0.6832959218581869
Butterworth,Butter 30Hz O1,"{'cutoff_hz': 30, 'order': 1}",99.30849848869198,0.6915015113080187,5.413541667523846,0,0.9413334453687099,5.0,0.6958746525679524
Butterworth,Butter 30Hz O2,"{'cutoff_hz': 30, 'order': 2}",102.70617425909947,-2.7061742590994697,2.630370487758349,0,0.8701858997887721,5.0,0.6797715784363046
Butterworth,Butter 25Hz O1,"{'cutoff_hz': 25, 'order': 1}",98.51878358440393,1.4812164155960659,6.972369249115651,0,0.9246116124121322,5.0,0.6923757258086024
Butterworth,Butter 25Hz O2,"{'cutoff_hz': 25, 'order': 2}",103.45116140872965,-3.4511614087296465,3.687605052020093,0,0.8258594367050227,10.0,0.6726252918024858
Butterworth,Butter 20Hz O1,"{'cutoff_hz': 20, 'order': 1}",96.61619536209356,3.3838046379064366,9.330321244209728,0,0.8992922759894522,5.0,0.6842434279778391
Butterworth,Butter 20Hz O2,"{'cutoff_hz': 20, 'order': 2}",102.77543495804846,-2.7754349580484643,5.639332637518701,0,0.7584164724682161,10.0,0.6555446794852148
Butterworth,Butter 15Hz O1,"{'cutoff_hz': 15, 'order': 1}",92.0378513099906,7.9621486900094,13.176488991465963,0,0.8577810045333731,10.0,0.6650151735743722
Butterworth,Butter 15Hz O2,"{'cutoff_hz': 15, 'order': 2}",99.06404755047876,0.9359524495212383,9.348892263513031,0,0.6529609331413504,15.0,0.6201911469348592
Butterworth,Butter 12Hz O1,"{'cutoff_hz': 12, 'order': 1}",88.18826960908524,11.81173039091476,16.815609179153345,0,0.8181257496418899,10.0,0.6486376308663679
Butterworth,Butter 12Hz O2,"{'cutoff_hz': 12, 'order': 2}",93.2473743422785,6.752625657721495,13.119680866891626,0,0.5589838844619486,20.0,0.5800437053083735
Butterworth,Butter 10Hz O1,"{'cutoff_hz': 10, 'order': 1}",84.00119627082557,15.998803729174426,20.20998199416013,0,0.7806928450855619,10.0,0.6308425845914514
Butterworth,Butter 10Hz O2,"{'cutoff_hz': 10, 'order': 2}",86.44119507590655,13.558804924093451,16.786696195620276,0,0.47382762715257676,25.0,0.5382731570362601
Biquad,Biquad 40Hz Q=0.50,"{'cutoff_hz': 40, 'Q': 0.5}",99.06547381590528,0.9345261840947217,5.470468729109901,0,0.8933426313899233,5.0,0.6806760908679277
Biquad,Biquad 40Hz Q=0.71,"{'cutoff_hz': 40, 'Q': 0.707}",101.48674324626477,-1.4867432462647656,1.6674374920071622,0,0.9212787763344769,5.0,0.6873329183614235
Biquad,Biquad 40Hz Q=1.00,"{'cutoff_hz': 40, 'Q': 1.0}",104.29422584657983,-4.294225846579835,-1.2557881728679332,0,0.9377872451459149,5.0,0.6947457124114901
Biquad,Biquad 40Hz Q=1.50,"{'cutoff_hz': 40, 'Q': 1.5}",111.7321877249286,-11.732187724928593,-3.934566677819662,0,0.9455677463011721,5.0,0.7187953747566069
Biquad,Biquad 35Hz Q=0.50,"{'cutoff_hz': 35, 'Q': 0.5}",98.37582367597193,1.6241763240280704,6.782185528721907,0,0.8670900635756309,5.0,0.6739768703627427
Biquad,Biquad 35Hz Q=0.71,"{'cutoff_hz': 35, 'Q': 0.707}",101.78396955025954,-1.7839695502595418,2.030607002909246,0,0.9002154701027659,5.0,0.6832923402405956
Biquad,Biquad 35Hz Q=1.00,"{'cutoff_hz': 35, 'Q': 1.0}",108.27743710696569,-8.277437106965692,-1.823438638037378,0,0.9204594019936123,5.0,0.7037772531118344
Biquad,Biquad 35Hz Q=1.50,"{'cutoff_hz': 35, 'Q': 1.5}",115.67529150375837,-15.675291503758373,-5.5297088818515805,0,0.9302844901737201,5.0,0.7251973864215948
Biquad,Biquad 30Hz Q=0.50,"{'cutoff_hz': 30, 'Q': 0.5}",96.7501642059528,3.2498357940472005,8.550712698449692,0,0.8319535590484497,10.0,0.6622388626336952
Biquad,Biquad 30Hz Q=0.71,"{'cutoff_hz': 30, 'Q': 0.707}",102.70273700257407,-2.702737002574068,2.632765921344693,0,0.8701724714392852,5.0,0.6797609872061159
Biquad,Biquad 30Hz Q=1.00,"{'cutoff_hz': 30, 'Q': 1.0}",110.86049294412814,-10.86049294412814,-2.494375216454303,0,0.8940761921974626,5.0,0.7041817037863884
Biquad,Biquad 30Hz Q=1.50,"{'cutoff_hz': 30, 'Q': 1.5}",121.61099946703511,-21.610999467035114,-7.744691783179647,0,0.9056649029064175,5.0,0.7349093933905269
Biquad,Biquad 25Hz Q=0.50,"{'cutoff_hz': 25, 'Q': 0.5}",95.0957446641746,4.904255335825397,11.017976422503416,0,0.7834211789739053,10.0,0.6484632616163801
Biquad,Biquad 25Hz Q=0.71,"{'cutoff_hz': 25, 'Q': 0.707}",103.44747823645604,-3.4474782364560355,3.690677734542025,0,0.8258445996214756,10.0,0.672615326035893
Biquad,Biquad 25Hz Q=1.00,"{'cutoff_hz': 25, 'Q': 1.0}",113.53981814576277,-13.539818145762766,-3.1589286644050807,0,0.8520022496015505,10.0,0.700283161470301
Biquad,Biquad 25Hz Q=1.50,"{'cutoff_hz': 25, 'Q': 1.5}",125.41442150269117,-25.41442150269117,-10.858870147963827,0,0.8639054579103396,5.0,0.7282527129399752
Biquad,Biquad 20Hz Q=0.50,"{'cutoff_hz': 20, 'Q': 0.5}",90.93044377042797,9.06955622957203,14.612770023242438,0,0.7135751358535158,15.0,0.621632625907494
Biquad,Biquad 20Hz Q=0.71,"{'cutoff_hz': 20, 'Q': 0.707}",102.77063936214775,-2.7706393621477474,5.64321002352427,0,0.7584014075488336,10.0,0.6555326097838139
Biquad,Biquad 20Hz Q=1.00,"{'cutoff_hz': 20, 'Q': 1.0}",115.67456742718304,-15.674567427183035,-3.3295894428601924,0,0.7828666522166057,10.0,0.6875694970451334
Biquad,Biquad 20Hz Q=1.50,"{'cutoff_hz': 20, 'Q': 1.5}",130.55089221414565,-30.550892214145648,-14.53061328601708,0,0.7866401029252391,10.0,0.714603759876103
Biquad,Biquad 15Hz Q=0.50,"{'cutoff_hz': 15, 'Q': 0.5}",83.83025134800877,16.169748651991227,20.17085403697736,0,0.6069330948395543,15.0,0.5779134959548335
Biquad,Biquad 15Hz Q=0.71,"{'cutoff_hz': 15, 'Q': 0.707}",99.05739098629508,0.9426090137049243,9.353668353377998,0,0.6529461526238768,15.0,0.6201744147924774
Biquad,Biquad 15Hz Q=1.00,"{'cutoff_hz': 15, 'Q': 1.0}",114.2102103573852,-14.210210357385193,-1.8670684816824323,0,0.6742137118191407,15.0,0.6535037495302357
Biquad,Biquad 15Hz Q=1.50,"{'cutoff_hz': 15, 'Q': 1.5}",133.88054144318963,-33.88054144318963,-16.26422121036024,0,0.6679406185585205,15.0,0.6871116877092339
Complementary,Comp α=0.98,{'alpha': 0.98},46.88405875122045,53.11594124877955,78.9012272133874,0,0.21452705818175596,20.0,0.4885980340995708
Complementary,Comp α=0.95,{'alpha': 0.95},56.7185735716587,43.2814264283413,63.71974180603656,0,0.3948823198488684,20.0,0.536498215659405
Complementary,Comp α=0.90,{'alpha': 0.9},66.99162511706763,33.00837488293237,46.50381323612345,0,0.5807637683318987,15.0,0.5817070706762105
