filter,filter_key,subject,accuracy,recall,precision,fn_rate,fp_rate
Baseline (No Filter),baseline,2,0.9642,0.904,0.9504,0.09599999999999997,0.04959999999999998
Baseline (No Filter),baseline,3,0.9589,0.8694,0.954,0.13060000000000005,0.04600000000000004
Baseline (No Filter),baseline,6,0.9588,0.8765,0.9309,0.12350000000000005,0.06910000000000005
EMA (alpha=0.3),ema_a03,2,0.9640672431645422,0.9046585872567106,0.9511867152992858,0.09534141274328944,0.04881328470071422
EMA (alpha=0.3),ema_a03,3,0.9644994973298532,0.8969168406234675,0.95121103004259,0.10308315937653245,0.04878896995741
EMA (alpha=0.3),ema_a03,6,0.9599870340856907,0.8933855277648199,0.921639825042018,0.10661447223518006,0.07836017495798198
Kalman (Q=0.001),kalman_q0001,2,0.9556459450194896,0.8744887175260958,0.9410540012985184,0.1255112824739042,0.05894599870148165
Kalman (Q=0.001),kalman_q0001,3,0.9639876038774776,0.898023649651105,0.9492546285961084,0.10197635034889496,0.05074537140389157
Kalman (Q=0.001),kalman_q0001,6,0.959215253472048,0.8757984446802404,0.9317528780338544,0.12420155531975963,0.06824712196614557
Kalman (Q=0.0001),kalman_q00001,2,0.9615016273637416,0.897027485271949,0.9493930790129552,0.10297251472805102,0.05060692098704478
Kalman (Q=0.0001),kalman_q00001,3,0.9615526512391512,0.8862675169182241,0.9482348624497968,0.11373248308177586,0.05176513755020318
Kalman (Q=0.0001),kalman_q00001,6,0.9595355424267098,0.8918956708918444,0.921756466000898,0.1081043291081556,0.078243533999102
