filter_type,config_label,noise_reduction,peak_preservation,edge_sharpness,phase_delay,shape_correlation,deployment_score
EMA,α=0.95,0.005359983152792389,0.9975683673716369,0.9524225984767947,1.0,0.9998698562475461,69.04496979745946
EMA,α=0.9,0.01088509540817173,0.9932513233230713,0.9052312129940032,1.0,0.9994699074114823,68.04843586045108
EMA,α=0.8,0.022942977301861706,0.9809118681564888,0.8111510118602954,1.0,0.9977660584216453,65.9812723557372
Kalman,"Q=2e-05, R=1e-05",0.03244072738033478,0.9688015789282443,0.7468387156908133,1.0,0.9957926590935282,64.496459049347
EMA,α=0.7,0.03744342028916267,0.961472160239606,0.7162553301987448,1.0,0.9945848337044538,63.75881902939187
Kalman,"Q=1e-05, R=1e-05",0.05228473423513551,0.93711077669549,0.6369920914125725,1.0,0.9905010028408399,61.7454778083311
Kalman,"Q=0.0001, R=0.0001",0.0522847332980161,0.9371107766954899,0.6369920914125724,1.0,0.9905010028408398,61.74547778021751
Kalman,"Q=0.001, R=0.001",0.05228472394203523,0.93711077669549,0.6369920914125725,1.0,0.9905010028408399,61.7454774995381
Kalman,"Q=0.01, R=0.01",0.052284631878902116,0.9371107766954899,0.6369920914125724,1.0,0.9905010028408398,61.74547473764409
Kalman,"Q=0.1, R=0.1",0.05228383982098654,0.9371107766954899,0.6369920914125724,1.0,0.9905010028408398,61.74545097590662
EMA,α=0.6,0.05602764637278841,0.9305069906601167,0.6193078637743625,1.0,0.9893762502533425,61.27480813472963
Butterworth,60Hz-O2,0.012603490715713678,0.9739497290370959,0.6107380075287079,1.0,0.9757471638533519,60.89091061096848
Butterworth,60Hz-O4,0.00989284807938999,0.9494472346019673,0.5890880848296427,1.0,0.9470448734041501,59.41760486472213
Kalman,"Q=1e-05, R=2e-05",0.08111913648180168,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.612700627668346
EMA,α=0.5,0.08110636983970027,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.61231762840529
Butterworth,40Hz-O2,0.02001192525161294,0.9418985201549073,0.5204507895057153,1.0,0.9500462514717456,58.0238037027855
MAF,N=3,0.04799585480612335,0.9276337866949946,0.45818405791342115,1.0,0.9622067832462955,57.19132521170918
Butterworth,40Hz-O4,0.010894190718567426,0.933285377167701,0.48393278041798504,1.0,0.8880881029079124,56.210042274711626
EMA,α=0.4,0.12102461991265044,0.8407305204350464,0.42213074210033386,1.0,0.9683456147334861,56.20483441363605
Butterworth,30Hz-O2,0.028918192739491505,0.9140728883818702,0.4332058286646384,1.0,0.9235037185341263,55.38014463577217
EMA,α=0.3,0.18787016096478681,0.773002106731285,0.32647580122569547,1.0,0.947635773088107,54.04371762908975
Butterworth,30Hz-O4,0.013711951083882137,0.8934711375354278,0.40503916632790626,1.0,0.8347333857672011,53.01727912885999
Butterworth,20Hz-O2,0.056729007804204284,0.8480229261410046,0.3368399732629857,1.0,0.8748649472095689,51.8559111555365
MAF,N=5,0.0955066150221217,0.8169525380217839,0.30787635079613695,1.0,0.9114304534962505,51.80459286075862
EMA,α=0.2,0.28684349956669336,0.6729027741858301,0.22916869954903185,1.0,0.9118085701024263,51.78276261510216
MAF,N=7,0.16029343860762457,0.7380808261113934,0.22960645111306976,1.0,0.8696911248008925,49.483937212242424
Butterworth,20Hz-O4,0.02964149217766672,0.8164498941184017,0.31235932226239815,1.0,0.7572961399590575,48.68011601009047
MAF,N=10,0.25468356657889357,0.6486175124839209,0.15226800911702923,1.0,0.8282122462491391,47.77739151748435
EMA,α=0.1,0.43066742040316264,0.49395184954065285,0.12270470778387974,0.9625,0.8386431525520582,47.70932319089498
MAF,N=15,0.35607757671887086,0.5480040047497634,0.10024674983403371,0.7749999999999999,0.7712781977217126,43.70209351268194
MAF,N=20,0.4202564307507172,0.4757503796170176,0.07867733872561186,0.7749999999999999,0.7153507861076224,42.682411292622454
