Metric,Baseline (FP32),Optimized (INT8),Change,Unit
Model memory,56.39,12.60,-77.6%,KB
Total SRAM footprint,62.28,20.03,-67.8%,KB
SRAM utilization,100.0,3.9,,%
Inference cycles,108823,91304,1.19x faster,cycles
Inference latency,453,380,1.19x faster,us
Inference latency,0.453,0.380,,ms
Throughput @ 240 MHz,2205,2629,1.19x,inf/s
Energy per inference,44.89,37.66,-16.1%,uJ
Avg power @ 100 Hz,67.50,67.26,-0.4%,mW
Accuracy,96.06,95.67,-0.39 pp,%
Recall,88.33,88.75,+0.42 pp,%
Precision,94.51,93.95,-0.56 pp,%
F1-Score,91.47,91.29,-0.18 pp,%
