filter,filter_key,subject,accuracy,recall,precision,fn_rate,fp_rate
Baseline (No Filter),baseline,2,0.9642368706555042,0.9040366117028308,0.9503749344895952,0.09596338829716922,0.0496250655104048
Baseline (No Filter),baseline,3,0.9589055625755158,0.8694345618662254,0.9539922451930904,0.13056543813377464,0.04600775480690955
Baseline (No Filter),baseline,6,0.95877919742534,0.8765260924667964,0.9308782602431944,0.12347390753320364,0.06912173975680558
"Butterworth (40Hz, O2)",butterworth,2,0.9568086001137918,0.8833387327295485,0.935122646170252,0.11666126727045145,0.06487735382974802
"Butterworth (40Hz, O2)",butterworth,3,0.9625072633530404,0.8939242808981085,0.9455729388325788,0.10607571910189151,0.05442706116742124
"Butterworth (40Hz, O2)",butterworth,6,0.9619627924566164,0.8896412021900199,0.9323266062081064,0.11035879780998015,0.06767339379189363
"Biquad (30Hz, Q=1.0)",biquad,2,0.9617242634456292,0.9047001283882504,0.9323361601523332,0.09529987161174958,0.06766383984766677
"Biquad (30Hz, Q=1.0)",biquad,3,0.9604135730162976,0.8781863514607708,0.9532641403664772,0.12181364853922916,0.04673585963352278
"Biquad (30Hz, Q=1.0)",biquad,6,0.9598172423506894,0.8850696027696643,0.9268426828698442,0.11493039723033571,0.07315731713015583
EMA (α=0.5),ema,2,0.9475426984199906,0.8566497223041285,0.9103827458453264,0.1433502776958715,0.08961725415467359
EMA (α=0.5),ema,3,0.9630837199435534,0.8878942048731879,0.9495114572043948,0.11210579512681207,0.05048854279560522
EMA (α=0.5),ema,6,0.9603034641372844,0.8908360667067399,0.9252180996663376,0.10916393329326013,0.07478190033366239
"Kalman (Q=0.0001, R=0.0001)",kalman,2,0.9609892109847936,0.8938851753341316,0.950653922258208,0.10611482466586841,0.049346077741792005
"Kalman (Q=0.0001, R=0.0001)",kalman,3,0.9608424567196392,0.8825166386084259,0.9491386239029512,0.11748336139157411,0.05086137609704877
"Kalman (Q=0.0001, R=0.0001)",kalman,6,0.9603497709741028,0.8842176190770363,0.9310795673668728,0.11578238092296367,0.0689204326331272
"Kalman Light (Q=0.1, R=0.1)",kalman_light,2,0.9590066896841748,0.8905944674675487,0.941287515903284,0.10940553253245133,0.05871248409671603
"Kalman Light (Q=0.1, R=0.1)",kalman_light,3,0.9621890593150774,0.896587152353176,0.9432943360143377,0.10341284764682401,0.05670566398566235
"Kalman Light (Q=0.1, R=0.1)",kalman_light,6,0.9602301449789884,0.8936988234094182,0.9214465841600368,0.1063011765905818,0.07855341583996323
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,2,0.9587840536022872,0.8892356966626849,0.9416762279365428,0.11076430333731513,0.05832377206345718
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,3,0.9605334759871242,0.8773067042567192,0.9515131969924274,0.1226932957432808,0.048486803007572576
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,6,0.9605620106428546,0.8897097013558017,0.9267816628026329,0.11029029864419826,0.07321833719736714
