filter,filter_key,subject,accuracy,recall,precision,fn_rate,fp_rate
Baseline (No Filter),baseline,2,0.9642368706555042,0.9040366117028308,0.9503749344895952,0.09596338829716922,0.0496250655104048
Baseline (No Filter),baseline,3,0.9589055625755158,0.8694345618662254,0.9539922451930904,0.13056543813377464,0.04600775480690955
Baseline (No Filter),baseline,6,0.95877919742534,0.8765260924667964,0.9308782602431944,0.12347390753320364,0.06912173975680558
"Butterworth (40Hz, O2)",butterworth,2,0.9623497648185516,0.902971407300899,0.9423862280951486,0.09702859269910102,0.057613771904851396
"Butterworth (40Hz, O2)",butterworth,3,0.9635863900904806,0.8928255014190988,0.9526193840030804,0.10717449858090122,0.04738061599691956
"Butterworth (40Hz, O2)",butterworth,6,0.9605928818674004,0.8830846060041789,0.9315966967034236,0.11691539399582107,0.0684033032965764
"Biquad (30Hz, Q=1.0)",biquad,2,0.9569711597926304,0.8809075031805114,0.9425935663626884,0.11909249681948864,0.05740643363731157
"Biquad (30Hz, Q=1.0)",biquad,3,0.9592191549607548,0.8756363899719146,0.9468653164445284,0.12436361002808538,0.053134683555471574
"Biquad (30Hz, Q=1.0)",biquad,6,0.9609208886281986,0.8892182916404373,0.9283603156901872,0.11078170835956269,0.07163968430981282
EMA (α=0.5),ema,2,0.96166418704258,0.8908639017356326,0.9519150175834528,0.10913609826436743,0.04808498241654724
EMA (α=0.5),ema,3,0.96230435063318,0.8835770876265749,0.955150526152386,0.11642291237342506,0.04484947384761395
EMA (α=0.5),ema,6,0.9599793162795544,0.8865912585894812,0.9256488574639062,0.11340874141051882,0.07435114253609376
"Kalman (Q=0.0001, R=0.0001)",kalman,2,0.964798761719316,0.9081825648301208,0.9506040883986452,0.09181743516987917,0.049395911601354814
"Kalman (Q=0.0001, R=0.0001)",kalman,3,0.9639276523920642,0.8965161972581794,0.9500526586410082,0.10348380274182056,0.049947341358991815
"Kalman (Q=0.0001, R=0.0001)",kalman,6,0.9593734684978448,0.8885077323196763,0.9224120613395276,0.11149226768032372,0.07758793866047242
"Kalman Light (Q=0.1, R=0.1)",kalman_light,2,0.959091503429656,0.8879175435711852,0.9487077693529428,0.11208245642881476,0.051292230647057235
"Kalman Light (Q=0.1, R=0.1)",kalman_light,3,0.9579878436834192,0.8671750120419149,0.9489463517012664,0.13282498795808506,0.0510536482987336
"Kalman Light (Q=0.1, R=0.1)",kalman_light,6,0.960079647759328,0.8788073011837915,0.9339354352783602,0.12119269881620853,0.0660645647216398
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,2,0.9586851042325591,0.8881916565186911,0.9414852897947646,0.11180834348130886,0.058514710205235354
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,3,0.9630791082908292,0.890347553271291,0.9505931802587604,0.109652446728709,0.049406819741239616
"Kalman Smooth (Q=0.001, R=0.1)",kalman_smooth,6,0.9578376250766956,0.8725739889020684,0.9287911752885668,0.1274260110979316,0.0712088247114332
