filter_type,config_label,noise_reduction,peak_preservation,edge_sharpness,phase_delay,shape_correlation,deployment_score,iteration1_score
EMA,α=0.95,0.0053599831527923,0.9975683673716368,0.9524225984767948,1.0,0.999869856247546,69.04496979745946,79.7803012008735
EMA,α=0.9,0.0108850954081717,0.9932513233230712,0.9052312129940032,1.0,0.9994699074114824,68.04843586045108,79.49175151178541
EMA,α=0.8,0.0229429773018617,0.9809118681564888,0.8111510118602954,1.0,0.9977660584216452,65.9812723557372,78.77951174346518
Kalman,"Q=2e-05, R=1e-05",0.0324407273803347,0.9688015789282444,0.7468387156908133,1.0,0.9957926590935282,64.496459049347,78.16484316135517
EMA,α=0.7,0.0374434202891626,0.961472160239606,0.7162553301987448,1.0,0.9945848337044538,63.75881902939187,77.8192156762968
Kalman,"Q=1e-05, R=1e-05",0.0522847342351355,0.93711077669549,0.6369920914125725,1.0,0.99050100284084,61.7454778083311,76.74456241133292
Kalman,"Q=0.0001, R=0.0001",0.0522847332980161,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74547778021751,76.74456239259052
Kalman,"Q=0.001, R=0.001",0.0522847239420352,0.93711077669549,0.6369920914125725,1.0,0.99050100284084,61.7454774995381,76.74456220547091
Kalman,"Q=0.01, R=0.01",0.0522846318789021,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74547473764409,76.74456036420824
Kalman,"Q=0.1, R=0.1",0.0522838398209865,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74545097590662,76.74454452304992
Butterworth,60Hz-O2,0.0126034907157136,0.973949729037096,0.6107380075287079,1.0,0.975747163853352,60.89091061096848,76.66641528385672
EMA,α=0.6,0.0560276463727884,0.9305069906601168,0.6193078637743625,1.0,0.9893762502533424,61.27480813472963,76.46612442703194
Kalman,"Q=1e-05, R=2e-05",0.0811191364818016,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.612700627668346,74.7866560224379
EMA,α=0.5,0.0811063698397002,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.61231762840529,74.78640068959587
Butterworth,60Hz-O4,0.0098928480793899,0.9494472346019672,0.5890880848296427,1.0,0.94704487340415,59.41760486472213,74.78529679892935
MAF,N=3,0.0479958548061233,0.9276337866949946,0.4581840579134211,1.0,0.9622067832462956,57.19132521170918,74.58422341740325
Butterworth,40Hz-O2,0.0200119252516129,0.9418985201549072,0.5204507895057153,1.0,0.9500462514717456,58.0238037027855,74.47032820213495
EMA,α=0.4,0.1210246199126504,0.8407305204350464,0.4221307421003338,1.0,0.968345614733486,56.20483441363605,73.00708276598588
Butterworth,30Hz-O2,0.0289181927394915,0.9140728883818702,0.4332058286646384,1.0,0.9235037185341264,55.38014463577217,72.44205564750226
Butterworth,40Hz-O4,0.0108941907185674,0.933285377167701,0.483932780417985,1.0,0.8880881029079124,56.210042274711626,71.94517900456817
EMA,α=0.3,0.1878701609647868,0.773002106731285,0.3264758012256954,1.0,0.947635773088107,54.04371762908975,70.8739291536624
MAF,N=5,0.0955066150221217,0.8169525380217839,0.3078763507961369,1.0,0.9114304534962504,51.80459286075862,69.38576649007305
Butterworth,20Hz-O2,0.0567290078042042,0.8480229261410046,0.3368399732629857,1.0,0.8748649472095689,51.8559111555365,68.74553085362123
Butterworth,30Hz-O4,0.0137119510838821,0.8934711375354278,0.4050391663279062,1.0,0.8347333857672011,53.01727912885999,68.61292624007318
EMA,α=0.2,0.2868434995666933,0.6729027741858301,0.2291686995490318,1.0,0.9118085701024264,51.78276261510216,67.78856768865587
MAF,N=7,0.1602934386076245,0.7380808261113934,0.2296064511130697,1.0,0.8696911248008925,49.48393721224242,66.27746368564338
Butterworth,20Hz-O4,0.0296414921776667,0.8164498941184017,0.3123593222623981,1.0,0.7572961399590575,48.68011601009047,63.44925694778111
MAF,N=10,0.2546835665788935,0.6486175124839209,0.1522680091170292,1.0,0.8282122462491391,47.77739151748435,63.402991701574415
EMA,α=0.1,0.4306674204031626,0.4939518495406528,0.1227047077838797,0.9625,0.8386431525520582,47.70932319089498,61.29948125746724
MAF,N=15,0.3560775767188708,0.5480040047497634,0.1002467498340337,0.7749999999999999,0.7712781977217126,43.70209351268194,57.69127138144068
MAF,N=20,0.4202564307507172,0.4757503796170176,0.0786773387256118,0.7749999999999999,0.7153507861076224,42.68241129262245,54.660302178466694
