filter_type,config_label,noise_reduction,peak_preservation,edge_sharpness,phase_delay,shape_correlation,deployment_score
Kalman,"Q=1e-05, R=1e-05",0.0522847342351355,0.93711077669549,0.6369920914125725,1.0,0.99050100284084,61.7454778083311
Kalman,"Q=0.0001, R=0.0001",0.0522847332980161,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74547778021751
Kalman,"Q=0.001, R=0.001",0.0522847239420352,0.93711077669549,0.6369920914125725,1.0,0.99050100284084,61.7454774995381
Kalman,"Q=0.01, R=0.01",0.0522846318789021,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74547473764409
Kalman,"Q=0.1, R=0.1",0.0522838398209865,0.93711077669549,0.6369920914125724,1.0,0.9905010028408398,61.74545097590662
EMA,α=0.6,0.0560276463727884,0.9305069906601168,0.6193078637743625,1.0,0.9893762502533424,61.27480813472963
Butterworth,60Hz-O2,0.0126034907157136,0.973949729037096,0.6107380075287079,1.0,0.975747163853352,60.89091061096848
Butterworth,60Hz-O4,0.0098928480793899,0.9494472346019672,0.5890880848296427,1.0,0.94704487340415,59.41760486472213
Kalman,"Q=1e-05, R=2e-05",0.0811191364818016,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.612700627668346
EMA,α=0.5,0.0811063698397002,0.8894936693194637,0.5192631529598613,1.0,0.9811893033940446,58.61231762840529
Butterworth,40Hz-O2,0.0200119252516129,0.9418985201549072,0.5204507895057153,1.0,0.9500462514717456,58.0238037027855
MAF,N=3,0.0479958548061233,0.9276337866949946,0.4581840579134211,1.0,0.9622067832462956,57.19132521170918
Butterworth,40Hz-O4,0.0108941907185674,0.933285377167701,0.483932780417985,1.0,0.8880881029079124,56.210042274711626
EMA,α=0.4,0.1210246199126504,0.8407305204350464,0.4221307421003338,1.0,0.968345614733486,56.20483441363605
Butterworth,30Hz-O2,0.0289181927394915,0.9140728883818702,0.4332058286646384,1.0,0.9235037185341264,55.38014463577217
EMA,α=0.3,0.1878701609647868,0.773002106731285,0.3264758012256954,1.0,0.947635773088107,54.04371762908975
Butterworth,30Hz-O4,0.0137119510838821,0.8934711375354278,0.4050391663279062,1.0,0.8347333857672011,53.01727912885999
Butterworth,20Hz-O2,0.0567290078042042,0.8480229261410046,0.3368399732629857,1.0,0.8748649472095689,51.8559111555365
MAF,N=5,0.0955066150221217,0.8169525380217839,0.3078763507961369,1.0,0.9114304534962504,51.80459286075862
EMA,α=0.2,0.2868434995666933,0.6729027741858301,0.2291686995490318,1.0,0.9118085701024264,51.78276261510216
MAF,N=7,0.1602934386076245,0.7380808261113934,0.2296064511130697,1.0,0.8696911248008925,49.48393721224242
Butterworth,20Hz-O4,0.0296414921776667,0.8164498941184017,0.3123593222623981,1.0,0.7572961399590575,48.68011601009047
MAF,N=10,0.2546835665788935,0.6486175124839209,0.1522680091170292,1.0,0.8282122462491391,47.77739151748435
EMA,α=0.1,0.4306674204031626,0.4939518495406528,0.1227047077838797,0.9625,0.8386431525520582,47.70932319089498
